?2015-10-01 05:00:00,0,22,0,0
?2015-10-01 05:05:00,0,22,0,0
?2015-10-01 05:10:00,0,22,0,0
?2015-10-01 05:15:00,0,22,0,0
?2015-10-01 05:20:00,1,22,0,0
?2015-10-01 05:25:00,0,22,0,0
?2015-10-01 05:30:00,0,22,0,0
?2015-10-01 05:35:00,0,22,0,0
?2015-10-01 05:40:00,0,22,0,0
?2015-10-01 05:45:00,2,22,0,0
?2015-10-01 05:50:00,3,22,0,0
?2015-10-01 05:55:00,6,22,0,0.1
?2015-10-01 06:00:00,10,22,0.011,0.2
?2015-10-01 06:05:00,14,23,0.323,0.6
?2015-10-01 06:10:00,19,23,0.844,1.1
?2015-10-01 06:15:00,25,23,1.421,1.7
?2015-10-01 06:20:00,30,24,2.027,2.3
?2015-10-01 06:25:00,36,24,2.693,3
?2015-10-01 06:30:00,46,25,3.66,4
?2015-10-01 06:35:00,58,26,4.576,4.9
?2015-10-01 06:40:00,68,27,5.538,5.9
?2015-10-01 06:45:00,81,28,7.788,8.3
?2015-10-01 06:50:00,93,28,8.833,9.3
?2015-10-01 06:55:00,99,30,11.153,11.8
?2015-10-01 07:00:00,113,31,12.567,13.2
?2015-10-01 07:05:00,128,33,14.28,15
?2015-10-01 07:10:00,141,34,15.807,16.6
?2015-10-01 07:15:00,153,36,18.164,19
?2015-10-01 07:20:00,166,37,20.118,21
?2015-10-01 07:25:00,175,39,20.932,21.9
?2015-10-01 07:30:00,194,40,22.854,23.9
?2015-10-01 07:35:00,206,41,23.557,24.6
?2015-10-01 07:40:00,214,42,23.737,24.8
?2015-10-01 07:45:00,142,41,15.379,16.2
?2015-10-01 07:50:00,258,42,28.169,29.4
?2015-10-01 07:55:00,263,43,28.762,30
?2015-10-01 08:00:00,268,45,29.431,30.7
?2015-10-01 08:05:00,290,46,31.948,33.3
?2015-10-01 08:10:00,291,47,31.858,33.2
?2015-10-01 08:15:00,309,47,33.192,34.6
?2015-10-01 08:20:00,338,49,35.036,36.5
?2015-10-01 08:25:00,352,49,35.265,36.7
?2015-10-01 08:30:00,378,50,37.484,39.1
?2015-10-01 08:35:00,389,51,38.238,39.8
?2015-10-01 08:40:00,415,52,40.184,41.9
?2015-10-01 08:45:00,431,53,41.3,43
?2015-10-01 08:50:00,452,53,42.28,44
?2015-10-01 08:55:00,472,53,43.845,45.7
?2015-10-01 09:00:00,496,53,45.342,47.3
?2015-10-01 09:05:00,519,54,46.633,48.6
?2015-10-01 09:10:00,550,55,48.97,51
?2015-10-01 09:15:00,581,55,50.582,52.7
?2015-10-01 09:20:00,624,55,53.654,55.9
?2015-10-01 09:25:00,667,56,55.302,57.7
?2015-10-01 09:30:00,691,58,56.837,59.3
?2015-10-01 09:35:00,528,57,43.73,45.6
?2015-10-01 09:40:00,508,54,42.964,44.8
?2015-10-01 09:45:00,588,55,50.232,52.4
?2015-10-01 09:50:00,600,55,50.421,52.6
?2015-10-01 09:55:00,520,54,43.028,44.9
?2015-10-01 10:00:00,417,52,35.827,37.4
?2015-10-01 10:05:00,425,50,35.945,37.5
?2015-10-01 10:10:00,477,49,41.433,43.2
?2015-10-01 10:15:00,395,49,34.149,35.6
?2015-10-01 10:20:00,496,48,40.283,42
?2015-10-01 10:25:00,350,48,29.747,31.1
?2015-10-01 10:30:00,347,46,30.36,31.7
?2015-10-01 10:35:00,433,46,38.2,39.8
?2015-10-01 10:40:00,422,47,37.833,39.5
?2015-10-01 10:45:00,375,47,32.384,33.8
?2015-10-01 10:50:00,332,47,29.322,30.6
?2015-10-01 10:55:00,440,47,38.903,40.6
?2015-10-01 11:00:00,447,47,39.057,40.8
?2015-10-01 11:05:00,511,49,43.49,45.3
?2015-10-01 11:10:00,546,51,46.32,48.3
?2015-10-01 11:15:00,695,53,59.736,62.4
?2015-10-01 11:20:00,610,54,52.387,54.7
?2015-10-01 11:25:00,772,54,62.167,65.1
?2015-10-01 11:30:00,587,54,36.099,37.7
?2015-10-01 11:35:00,521,53,41.595,43.4
?2015-10-01 11:40:00,280,50,23.546,24.7
?2015-10-01 11:45:00,659,49,50.552,52.7
?2015-10-01 11:50:00,940,54,73.84,77.1
?2015-10-01 11:55:00,287,53,23.674,24.8
